id,(Intercept),mix8a
Bacteria;;,0.4075610576886339,1.6597826679058316
Bacteria;Omnitrophota;Koll11,4.07134514479612,-10.109489536881686
Bacteria;Acidobacteriota;Mor1,-0.6056997002039348,0.07645284770338306
Bacteria;Proteobacteria;Gammaproteobacteria,9.183281479223432,-15.45682638123572
Bacteria;Bacteroidota;Bacteroidia,1.9864266642221509,-13.931772732338773
Bacteria;Nitrospirota;Nitrospiria,4.311144330964124,-41.596167050105905
Bacteria;Methylomirabilota;Methylomirabilia,-0.6056997002039348,5.093146228962347
Bacteria;Gemmatimonadota;Gemmatimonadetes,1.6993811142441166,-18.64345010399052
Bacteria;Patescibacteria;ABY1,-0.6056997002039358,14.409118265252435
Bacteria;Desulfobacterota;GWC2-55-46,-0.605699700203935,-0.5733624718981579
Bacteria;Omnitrophota;Omnitrophia,-0.6056997002039356,9.270531514151934
Bacteria;Desulfobacterota_E;MBNT15,-0.6056997002039347,0.9181362311167998
Bacteria;Patescibacteria;Paceibacteria,-0.6056997002039363,12.657135411193972
Bacteria;Nitrospirota;Thermodesulfovibrionia,0.5187192104348,1.794056395627625
Bacteria;Patescibacteria;Gracilibacteria,-0.6056997002039355,14.168461755737393
Bacteria;Patescibacteria;,-0.6056997002039347,1.3142446401579424
Bacteria;Firmicutes;Bacilli,3.860450850240575,-46.90831655916601
Bacteria;Margulisbacteria;WOR-1,-0.6056997002039348,7.224874605408619
